Period,Export Services,Service Origin Geography,Service Destination,Flow Directions,Value,Marker
year/2017,construction,http://data.europa.eu/nuts/code/UK,all,exports,1082.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKC,all,exports,48.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKD,all,exports,1333.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKE,all,exports,104.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKF,all,exports,60.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKG,all,exports,232.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKH,all,exports,216.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKI,all,exports,3472.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKJ,all,exports,955.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKK,all,exports,218.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKL,all,exports,41.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKM,all,exports,126.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKN,all,exports,48.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UK,all,exports,6853.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKC,all,exports,81.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKD,all,exports,251.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKE,all,exports,176.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKF,all,exports,174.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKG,all,exports,206.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKH,all,exports,240.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKI,all,exports,1085.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKJ,all,exports,358.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKK,all,exports,203.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKL,all,exports,91.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKM,all,exports,189.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKN,all,exports,2.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UK,all,exports,3054.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKC,all,exports,418.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKD,all,exports,2466.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKE,all,exports,1136.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKF,all,exports,772.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKG,all,exports,1175.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKH,all,exports,1983.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKI,all,exports,6832.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKJ,all,exports,5366.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKK,all,exports,1548.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKL,all,exports,539.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKM,all,exports,2417.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UKN,all,exports,361.0,
year/2017,transportation-and-storage,http://data.europa.eu/nuts/code/UK,all,exports,25013.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKC,all,exports,508.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKD,all,exports,1507.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKE,all,exports,1041.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKF,all,exports,874.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKG,all,exports,995.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKH,all,exports,1147.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKI,all,exports,2427.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKJ,all,exports,1903.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKK,all,exports,1892.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKL,all,exports,,suppressed
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKM,all,exports,1642.0,
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UKN,all,exports,,suppressed
year/2017,accommodation-and-food-service-activities,http://data.europa.eu/nuts/code/UK,all,exports,14713.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKC,all,exports,428.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKD,all,exports,1068.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKE,all,exports,604.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKF,all,exports,734.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKG,all,exports,1207.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKH,all,exports,1817.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKI,all,exports,25736.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKJ,all,exports,8420.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKK,all,exports,979.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKL,all,exports,222.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKM,all,exports,1043.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UKN,all,exports,532.0,
year/2017,information-and-communication,http://data.europa.eu/nuts/code/UK,all,exports,42789.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKC,all,exports,1299.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKD,all,exports,5060.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKE,all,exports,3046.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKF,all,exports,1478.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKG,all,exports,3394.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKH,all,exports,3367.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKI,all,exports,39146.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKJ,all,exports,6243.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKK,all,exports,3485.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKL,all,exports,2342.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKM,all,exports,6271.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UKN,all,exports,812.0,
year/2017,financial-and-insurance-activities,http://data.europa.eu/nuts/code/UK,all,exports,75943.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKC,all,exports,11.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKD,all,exports,35.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKE,all,exports,26.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKF,all,exports,8.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKG,all,exports,32.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKH,all,exports,56.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKI,all,exports,404.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKJ,all,exports,133.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKK,all,exports,40.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKL,all,exports,,suppressed
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKM,all,exports,24.0,
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UKN,all,exports,,suppressed
year/2017,real-estate-activities,http://data.europa.eu/nuts/code/UK,all,exports,782.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKC,all,exports,485.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKD,all,exports,1454.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKE,all,exports,793.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKF,all,exports,856.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKG,all,exports,792.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKH,all,exports,3032.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKI,all,exports,20370.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKJ,all,exports,10774.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKK,all,exports,982.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKL,all,exports,308.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKM,all,exports,3561.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UKN,all,exports,318.0,
year/2017,professional-scientific-and-technical-activities,http://data.europa.eu/nuts/code/UK,all,exports,43725.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKC,all,exports,517.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKD,all,exports,2215.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKE,all,exports,1007.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKF,all,exports,923.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKG,all,exports,866.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKH,all,exports,2859.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKI,all,exports,9743.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKJ,all,exports,4098.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKK,all,exports,2070.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKL,all,exports,542.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKM,all,exports,1691.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UKN,all,exports,218.0,
year/2017,administrative-and-support-service-activities,http://data.europa.eu/nuts/code/UK,all,exports,26749.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKC,all,exports,634.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKD,all,exports,2333.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKE,all,exports,1218.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKF,all,exports,1042.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKG,all,exports,1995.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKH,all,exports,1247.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKI,all,exports,6056.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKJ,all,exports,3152.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKK,all,exports,1103.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKL,all,exports,762.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKM,all,exports,1855.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UKN,all,exports,36.0,
year/2017,other-services,http://data.europa.eu/nuts/code/UK,all,exports,21434.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKC,all,exports,5525.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKD,all,exports,19254.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKE,all,exports,9623.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKF,all,exports,7547.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKG,all,exports,11527.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKH,all,exports,17447.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKI,all,exports,116580.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKJ,all,exports,44710.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKK,all,exports,13460.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKL,all,exports,8259.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKM,all,exports,21886.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UKN,all,exports,2840.0,
year/2017,all-industries,http://data.europa.eu/nuts/code/UK,all,exports,278658.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKC,eu,exports,6.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKC,rest-of-world,exports,1.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKD,eu,exports,30.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKD,rest-of-world,exports,3.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKE,eu,exports,16.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKE,rest-of-world,exports,19.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKF,eu,exports,28.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKF,rest-of-world,exports,9.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKG,eu,exports,6.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKG,rest-of-world,exports,11.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKH,eu,exports,23.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKH,rest-of-world,exports,9.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKI,eu,exports,8.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKI,rest-of-world,exports,3.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKJ,eu,exports,16.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKJ,rest-of-world,exports,9.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKK,eu,exports,23.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKK,rest-of-world,exports,7.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKL,eu,exports,,suppressed
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKL,rest-of-world,exports,,suppressed
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKM,eu,exports,108.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKM,rest-of-world,exports,767.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKN,eu,exports,,suppressed
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKN,rest-of-world,exports,,suppressed
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UK,eu,exports,298.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UK,rest-of-world,exports,840.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKC,eu,exports,820.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKC,rest-of-world,exports,253.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKD,eu,exports,769.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKD,rest-of-world,exports,682.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKE,eu,exports,203.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKE,rest-of-world,exports,215.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKF,eu,exports,250.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKF,rest-of-world,exports,301.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKG,eu,exports,290.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKG,rest-of-world,exports,304.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKH,eu,exports,638.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKH,rest-of-world,exports,667.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKI,eu,exports,362.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKI,rest-of-world,exports,613.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKJ,eu,exports,1289.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKJ,rest-of-world,exports,1896.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKK,eu,exports,379.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKK,rest-of-world,exports,501.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKL,eu,exports,,suppressed
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKL,rest-of-world,exports,,suppressed
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKM,eu,exports,947.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKM,rest-of-world,exports,1166.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKN,eu,exports,,suppressed
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKN,rest-of-world,exports,,suppressed
year/2017,manufacturing,http://data.europa.eu/nuts/code/UK,eu,exports,6581.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UK,rest-of-world,exports,8802.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKC,eu,exports,11.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKC,rest-of-world,exports,6.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKD,eu,exports,26.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKD,rest-of-world,exports,21.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKE,eu,exports,11.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKE,rest-of-world,exports,7.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKF,eu,exports,28.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKF,rest-of-world,exports,10.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKG,eu,exports,9.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKG,rest-of-world,exports,13.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKH,eu,exports,44.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKH,rest-of-world,exports,101.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKI,eu,exports,136.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKI,rest-of-world,exports,187.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKJ,eu,exports,54.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKJ,rest-of-world,exports,46.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKK,eu,exports,13.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKK,rest-of-world,exports,18.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKL,eu,exports,8.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKL,rest-of-world,exports,4.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKM,eu,exports,36.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKM,rest-of-world,exports,46.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKN,eu,exports,240.26415401130674,
year/2017,construction,http://data.europa.eu/nuts/code/UKN,rest-of-world,exports,7.899815627657472,
year/2017,construction,http://data.europa.eu/nuts/code/UK,eu,exports,615.0,
year/2017,construction,http://data.europa.eu/nuts/code/UK,rest-of-world,exports,467.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKC,eu,exports,42.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKC,rest-of-world,exports,5.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKD,eu,exports,461.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKD,rest-of-world,exports,872.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKE,eu,exports,82.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKE,rest-of-world,exports,22.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKF,eu,exports,46.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKF,rest-of-world,exports,15.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKG,eu,exports,168.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKG,rest-of-world,exports,64.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKH,eu,exports,172.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKH,rest-of-world,exports,44.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKI,eu,exports,1928.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKI,rest-of-world,exports,1543.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKJ,eu,exports,726.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKJ,rest-of-world,exports,229.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKK,eu,exports,117.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKK,rest-of-world,exports,101.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKL,eu,exports,,suppressed
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKL,rest-of-world,exports,,suppressed
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKM,eu,exports,99.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKM,rest-of-world,exports,27.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKN,eu,exports,,suppressed
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UKN,rest-of-world,exports,,suppressed
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UK,eu,exports,3916.0,
year/2017,wholesale-and-motor-trades,http://data.europa.eu/nuts/code/UK,rest-of-world,exports,2937.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKC,eu,exports,55.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKC,rest-of-world,exports,25.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKD,eu,exports,170.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKD,rest-of-world,exports,81.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKE,eu,exports,118.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKE,rest-of-world,exports,57.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKF,eu,exports,122.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKF,rest-of-world,exports,52.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKG,eu,exports,150.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKG,rest-of-world,exports,56.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKH,eu,exports,159.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKH,rest-of-world,exports,81.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKI,eu,exports,539.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKI,rest-of-world,exports,546.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKJ,eu,exports,237.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKJ,rest-of-world,exports,121.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKK,eu,exports,140.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKK,rest-of-world,exports,63.0,
year/2017,retail-excluding-motor-trades,http://data.europa.eu/nuts/code/UKL,eu,exports,,suppressed
