Country,Geographical Area,Suppressed Country
Qatar,Middle East and North Africa,No
Saudi Arabia,Middle East and North Africa,No
UAE,Middle East and North Africa,No
Ceuta,Middle East and North Africa,Yes
Iran,Middle East and North Africa,Yes
Libya,Middle East and North Africa,Yes
Melilla,Middle East and North Africa,Yes
Occ Palestinian Territories,Middle East and North Africa,Yes
South Sudan,Middle East and North Africa,Yes
Sudan,Middle East and North Africa,Yes
Syria,Middle East and North Africa,Yes
Tunisia,Middle East and North Africa,Yes
Yemen,Middle East and North Africa,Yes
Canada,North America,No
Mexico,North America,No
USA incl. Puerto Rico,North America,No
Greenland,North America,Yes
St Pierre-Mique,North America,Yes
Angola,Sub-Saharan Africa,No
Cameroon,Sub-Saharan Africa,No
Congo (Republic),Sub-Saharan Africa,No
Equat. Guinea,Sub-Saharan Africa,No
Ethiopia,Sub-Saharan Africa,No
Ghana,Sub-Saharan Africa,No
Ivory Coast,Sub-Saharan Africa,No
Kenya,Sub-Saharan Africa,No
Mauritius,Sub-Saharan Africa,No
Nigeria,Sub-Saharan Africa,No
Senegal,Sub-Saharan Africa,No
South Africa,Sub-Saharan Africa,No
Tanzania,Sub-Saharan Africa,No
Benin,Sub-Saharan Africa,Yes
Botswana,Sub-Saharan Africa,Yes
Br Ind Oc Terr,Sub-Saharan Africa,Yes
Burkina,Sub-Saharan Africa,Yes
Burundi,Sub-Saharan Africa,Yes
Cape Verde,Sub-Saharan Africa,Yes
Cent Afr Rep,Sub-Saharan Africa,Yes
Chad,Sub-Saharan Africa,Yes
Comoros,Sub-Saharan Africa,Yes
Congo (Dem. Rep),Sub-Saharan Africa,Yes
Djibouti,Sub-Saharan Africa,Yes
Eritrea,Sub-Saharan Africa,Yes
Gabon,Sub-Saharan Africa,Yes
Gambia,Sub-Saharan Africa,Yes
Guinea,Sub-Saharan Africa,Yes
Guinea-Bissau,Sub-Saharan Africa,Yes
Lesotho,Sub-Saharan Africa,Yes
Liberia,Sub-Saharan Africa,Yes
Madagascar,Sub-Saharan Africa,Yes
Malawi,Sub-Saharan Africa,Yes
Mali,Sub-Saharan Africa,Yes
Mauritania,Sub-Saharan Africa,Yes
Mozambique,Sub-Saharan Africa,Yes
Namibia,Sub-Saharan Africa,Yes
Niger,Sub-Saharan Africa,Yes
Rwanda,Sub-Saharan Africa,Yes
Sao Tome-Princ.,Sub-Saharan Africa,Yes
Seychelles,Sub-Saharan Africa,Yes
Sierra Leone,Sub-Saharan Africa,Yes
Somalia,Sub-Saharan Africa,Yes
St Helena,Sub-Saharan Africa,Yes
Swaziland,Sub-Saharan Africa,Yes
Togo,Sub-Saharan Africa,Yes
Uganda,Sub-Saharan Africa,Yes
Western Sahara,Sub-Saharan Africa,Yes
Zambia,Sub-Saharan Africa,Yes
Zimbabwe,Sub-Saharan Africa,Yes
Gibraltar,Western Europe (excl. EU),No
Iceland,Western Europe (excl. EU),No
Norway,Western Europe (excl. EU),No
Switzerland,Western Europe (excl. EU),No
Turkey,Western Europe (excl. EU),No
Andorra,Western Europe (excl. EU),Yes
Faroe Islands,Western Europe (excl. EU),Yes
Liechtenstein,Western Europe (excl. EU),Yes
San Marino,Western Europe (excl. EU),Yes
Vatican City,Western Europe (excl. EU),Yes
